date,brent_crude_usd,usdcny,us_indpro,us_mfg_emp,us_cfnai,us_mfg_orders,china_exports_usd,us_imports_china,china_cli,us_cli,bdry_etf,wci_composite,brent_crude_usd_lr,usdcny_lr,bdry_etf_lr,wci_composite_lr,china_exports_usd_lr,us_imports_china_lr,brent_crude_usd_lag1,brent_crude_usd_lag2,usdcny_lag1,usdcny_lag2,china_cli_lag1,china_cli_lag2,us_cli_lag1,us_cli_lag2,bdry_etf_lag1,bdry_etf_lag2,wci_composite_lag1,wci_composite_lag2,brent_crude_usd_ma3,bdry_etf_ma3,wci_composite_ma3,month
2023-11-01,82.94,7.222589999999999,100.8639,12859.0,0.14,595096.0,279811300000.0,254531000000.0,101.6427,99.56316,6.3780952635265535,1350,-0.08829160368927269,-0.011634167245615284,0.13245957523909427,0.03774032798284711,0.009375097839636658,-0.017760574943507832,90.59590909090909,93.72238095238096,7.307109523809523,7.29794,101.4661,101.2806,99.48032,99.42229,5.586818196556785,5.361500024795532,1300.0,1350.0,89.08609668109669,5.775471161626292,1333.3333333333333,11
2023-12-01,77.63105263157895,7.140210000000001,100.6031,12872.0,-0.12,603429.0,281817100000.0,257480000000.00003,101.8105,99.68512,9.716499948501587,1400,-0.06614994489475438,-0.011471426656123343,0.4209559612767509,0.03636764417087479,0.007142831551940227,0.011519411146145849,82.94,90.59590909090909,7.222589999999999,7.307109523809523,101.6427,101.4661,99.56316,99.48032,6.3780952635265535,5.586818196556785,1350.0,1300.0,83.72232057416268,7.227137802861645,1350.0,12
2024-01-01,80.12409090909091,7.170704761904762,99.2223,12875.0,-0.99,575836.0,292224300000.0,260111000000.0,101.9756,99.83714,10.450952393668038,2800,0.03160905934460616,0.004261755250078649,0.07286764638552062,0.6931471805599453,0.03626337911865086,0.010166415802307836,77.63105263157895,82.94,7.140210000000001,7.222589999999999,101.8105,101.6427,99.68512,99.56316,9.716499948501587,6.3780952635265535,1400.0,1350.0,80.23171451355661,8.848515868565395,1850.0,1
2024-02-01,83.47809523809524,7.19349,100.285,12852.0,0.26,580113.0,297222200000.0,265047000000.00003,,,12.915500020980835,3200,0.041007695695638,0.003172507416344501,0.21173502968769797,0.13353139262452257,0.01695834915105692,0.018798705763907568,80.12409090909091,77.63105263157895,7.170704761904762,7.140210000000001,101.9756,101.8105,99.83714,99.68512,10.450952393668038,9.716499948501587,2800.0,1400.0,80.4110795929217,11.027650787716823,2466.6666666666665,2
2024-03-01,85.4085,7.201485714285714,100.4575,12836.0,-0.13,588450.0,287206500000.0,262308000000.0,,,15.423000001907349,3100,0.022861362493781633,0.0011109035911851671,0.17743175976940576,-0.0317486983145803,-0.03427853799758968,-0.010387782914765078,83.47809523809524,80.12409090909091,7.19349,7.170704761904762,,101.9756,,99.83714,12.915500020980835,10.450952393668038,3200.0,2800.0,83.00356204906205,12.92981747218541,3033.3333333333335,3
2024-04-01,89.93809523809524,7.237431818181818,100.2434,12833.0,-0.37,589369.0,293991600000.0,269267000000.0,,,13.182727293534713,2900,0.05167597552087073,0.00497906828226734,-0.1569524675253266,-0.06669137449867228,0.023349726271999258,0.026184066554751792,85.4085,83.47809523809524,7.201485714285714,7.19349,,,,,15.423000001907349,12.915500020980835,3100.0,3200.0,86.27489682539682,13.8404091054743,3066.6666666666665,4
2024-05-01,81.74619047619048,7.232713636363636,100.863,12825.0,0.15,585723.0,298673200000.0,268298000000.0,,,12.877727248451926,3200,-0.09550239396644063,-0.0006521264074657966,-0.02340818509931395,0.09844007281325251,0.015798803565627267,-0.0036051493289769422,89.93809523809524,85.4085,7.237431818181818,7.201485714285714,,,,,13.182727293534713,15.423000001907349,2900.0,3100.0,85.69759523809523,13.827818181298,3066.6666666666665,5
2024-06-01,82.24600000000001,7.254747368421053,100.894,12814.0,-0.22,579092.0,302216900000.0,270833000000.00003,,,11.861578941345215,5200,0.0060955472321148904,0.0030417681937219792,-0.08219473288416346,0.4855078157817008,0.011794972437076534,0.009404091704154495,81.74619047619048,89.93809523809524,7.232713636363636,7.237431818181818,,,,,12.877727248451926,13.182727293534713,3200.0,2900.0,84.64342857142857,12.640677827777287,3766.6666666666665,6
2024-07-01,85.15304347826087,7.260936363636364,99.9757,12806.0,-0.39,593865.0,291791300000.0,276766000000.0,,,11.615454543720592,5700,0.03473539277740342,0.0008527322177281966,-0.02096801670076118,0.09180754925312289,-0.03510615080217279,0.021669989063264238,82.24600000000001,81.74619047619048,7.254747368421053,7.232713636363636,,,,,11.861578941345215,12.877727248451926,5200.0,3200.0,83.04841131815046,12.118253577839246,4700.0,7
2024-08-01,80.3552380952381,7.1474863636363635,100.4309,12772.0,-0.08,589396.0,301843900000.0,272777000000.0,,,10.771227186376398,4900,-0.05799286798283411,-0.015748058865837633,-0.07545807009676371,-0.15123096972392353,0.033871175622829236,-0.014517772264551289,85.15304347826087,82.24600000000001,7.260936363636364,7.254747368421053,,,,,11.615454543720592,11.861578941345215,5700.0,5200.0,82.58476052449966,11.416086890480736,5266.666666666667,8
2024-09-01,74.01666666666667,7.0760000000000005,99.8084,12758.0,-0.29,591606.0,294241100000.0,281009000000.0,,,10.58299994468689,3800,-0.08216698796861936,-0.010051961064164854,-0.017629494673830473,-0.25423413838424086,-0.02551049703146952,0.029732085726088604,80.3552380952381,85.15304347826087,7.1474863636363635,7.260936363636364,,,,,10.771227186376398,11.615454543720592,4900.0,5700.0,79.84164941338854,10.989893891594628,4800.0,9
2024-10-01,75.63260869565217,7.088118181818182,99.4695,12697.0,-0.56,591738.0,310289100000.0,268699000000.0,,,8.760434834853463,3200,0.021597229071670537,0.0017111103733193466,-0.18900339248674358,-0.17185025692665928,0.05310494424736169,-0.044794903298703406,74.01666666666667,80.3552380952381,7.0760000000000005,7.1474863636363635,,,,,10.58299994468689,10.771227186376398,3800.0,4900.0,76.66817115251898,10.038220655305587,3966.6666666666665,10
2024-11-01,74.3452380952381,7.206284210526316,99.2925,12711.0,-0.06,589991.0,302647000000.0,280404000000.0,,,7.7742499828338625,2900,-0.017167898425307596,0.016533565694137768,-0.11942855421638673,-0.09844007281325252,-0.024937333692736218,0.04263962640202876,75.63260869565217,74.01666666666667,7.088118181818182,7.0760000000000005,,,,,8.760434834853463,10.58299994468689,3200.0,3800.0,74.66483781918565,9.03922825412474,3300.0,11
2024-12-01,73.8595,7.280695238095238,100.3273,12693.0,0.33,592319.0,307626000000.0,290890000000.0,,,6.142749977111817,2600,-0.0065549838789010885,0.010272905022145817,-0.2355444672822322,-0.10919929196499197,0.016317649568574028,0.03671376844211142,74.3452380952381,75.63260869565217,7.206284210526316,7.088118181818182,,,,,7.7742499828338625,8.760434834853463,2900.0,3200.0,74.61244893029676,7.559144931599717,2900.0,12
